PlanetID,HDName,Spec,d_pc,L_sol,M_sol,Rp_Rearth,sma_AU,P_yr,ecc,inc_rad,aop_rad,pan_rad,epp_yr,Mp_Mearth,albedo,HZ
HD 128167_28,HD 128167,F4VkF2mF1,15.756,3.182,1.390,0.742,2.845,4.071,0.073,0.542,5.386,1.351,2032.311,0.213,0.394,True
HD 128167_29,HD 128167,F4VkF2mF1,15.756,3.182,1.390,2.503,1.748,1.961,0.101,0.755,1.368,1.948,2033.520,13.038,0.528,True
HD 128167_30,HD 128167,F4VkF2mF1,15.756,3.182,1.390,0.794,2.780,3.931,0.056,1.080,0.668,2.914,2034.854,0.646,0.315,True
HD 128167_31,HD 128167,F4VkF2mF1,15.756,3.182,1.390,2.068,2.486,3.326,0.116,1.324,6.115,5.306,2033.158,5.738,0.379,True
HD 128167_32,HD 128167,F4VkF2mF1,15.756,3.182,1.390,0.595,0.501,0.301,0.134,0.757,5.430,5.043,2034.827,0.179,0.296,False
HD 128167_33,HD 128167,F4VkF2mF1,15.756,3.182,1.390,0.806,1.710,1.897,0.084,0.546,1.908,0.793,2034.424,0.523,0.389,True
HD 128167_34,HD 128167,F4VkF2mF1,15.756,3.182,1.390,1.268,3.121,4.677,0.040,1.159,4.242,0.782,2030.901,1.312,0.327,False
HD 128167_35,HD 128167,F4VkF2mF1,15.756,3.182,1.390,1.247,0.734,0.534,0.019,0.838,2.934,2.618,2034.913,2.688,0.303,False
HD 128167_36,HD 128167,F4VkF2mF1,15.756,3.182,1.390,2.427,2.309,2.976,0.061,1.159,2.030,5.467,2033.916,4.626,0.403,True
HD 128167_37,HD 128167,F4VkF2mF1,15.756,3.182,1.390,3.369,1.368,1.358,0.022,1.072,1.802,5.542,2033.848,14.283,0.343,True
HD 128167_38,HD 128167,F4VkF2mF1,15.756,3.182,1.390,0.590,1.470,1.512,0.058,1.018,0.855,0.675,2034.712,0.204,0.379,True
HD 128167_39,HD 128167,F4VkF2mF1,15.756,3.182,1.390,0.782,0.216,0.085,0.135,0.683,3.451,3.608,2034.930,0.896,0.336,False
HD 128167_40,HD 128167,F4VkF2mF1,15.756,3.182,1.390,0.912,2.387,3.128,0.103,0.213,2.806,0.978,2034.753,0.794,0.440,True
HD 128621_0,HD 128621,K1V,1.332,0.503,0.940,1.068,1.065,1.134,0.122,0.931,2.601,0.545,2034.505,1.339,0.345,True
HD 128621_1,HD 128621,K1V,1.332,0.503,0.940,1.493,0.098,0.032,0.038,0.924,4.944,5.966,2034.993,1.627,0.369,False
HD 128621_2,HD 128621,K1V,1.332,0.503,0.940,2.527,0.170,0.072,0.049,1.224,5.711,2.909,2034.997,10.819,0.281,False
HD 128621_3,HD 128621,K1V,1.332,0.503,0.940,0.594,1.006,1.041,0.078,0.536,3.730,3.960,2034.518,0.117,0.380,True
HD 128621_4,HD 128621,K1V,1.332,0.503,0.940,0.687,0.179,0.078,0.080,0.563,1.881,0.146,2034.936,0.244,0.336,False
HD 128621_5,HD 128621,K1V,1.332,0.503,0.940,1.258,0.536,0.405,0.060,1.462,4.287,1.751,2034.705,1.536,0.391,False
HD 128621_6,HD 128621,K1V,1.332,0.503,0.940,0.923,2.035,2.994,0.059,0.802,4.650,3.176,2033.777,0.516,0.340,False
HD 128621_7,HD 128621,K1V,1.332,0.503,0.940,1.150,0.621,0.505,0.101,1.166,2.087,5.568,2034.700,2.175,0.346,True
HD 128621_8,HD 128621,K1V,1.332,0.503,0.940,2.858,4.525,9.928,0.074,0.024,5.193,1.706,2030.669,3.563,0.435,False
HD 128621_9,HD 128621,K1V,1.332,0.503,0.940,1.296,3.821,7.705,0.095,1.344,0.463,4.871,2030.539,3.376,0.315,False
HD 128621_10,HD 128621,K1V,1.332,0.503,0.940,1.014,1.666,2.219,0.125,1.286,0.068,4.161,2033.852,0.798,0.246,False
HD 128621_11,HD 128621,K1V,1.332,0.503,0.940,3.317,4.250,9.036,0.067,1.113,0.773,0.724,2028.846,2.860,0.448,False
HD 128621_12,HD 128621,K1V,1.332,0.503,0.940,0.551,3.439,6.577,0.070,1.299,0.980,1.843,2031.661,0.118,0.494,False
HD 128621_13,HD 128621,K1V,1.332,0.503,0.940,2.910,0.649,0.540,0.060,0.807,5.522,1.495,2034.492,3.266,0.347,True
HD 128621_14,HD 128621,K1V,1.332,0.503,0.940,1.192,2.602,4.328,0.051,1.069,2.670,2.780,2033.148,1.373,0.270,False
HD 128621_15,HD 128621,K1V,1.332,0.503,0.940,1.197,0.257,0.134,0.118,1.348,1.727,3.992,2034.998,2.221,0.351,False
HD 128621_16,HD 128621,K1V,1.332,0.503,0.940,2.844,2.201,3.368,0.032,1.040,2.696,2.723,2034.204,4.475,0.353,False
HD 128621_17,HD 128621,K1V,1.332,0.503,0.940,1.205,1.240,1.425,0.097,0.476,2.481,1.536,2034.287,2.258,0.358,False
HD 128621_18,HD 128621,K1V,1.332,0.503,0.940,1.058,0.108,0.036,0.063,0.656,1.894,4.372,2034.980,0.351,0.311,False
HD 128621_19,HD 128621,K1V,1.332,0.503,0.940,0.784,0.532,0.401,0.067,1.049,0.866,3.672,2034.779,0.325,0.396,False
HD 128621_20,HD 128621,K1V,1.332,0.503,0.940,1.623,4.150,8.718,0.142,1.278,4.121,3.263,2028.770,5.460,0.393,False
HD 128621_21,HD 128621,K1V,1.332,0.503,0.940,1.360,0.641,0.529,0.057,1.390,0.858,3.484,2034.855,1.921,0.292,True
HD 128621_22,HD 128621,K1V,1.332,0.503,0.940,0.708,0.333,0.198,0.062,0.498,4.872,1.394,2034.868,0.187,0.402,False
HD 128621_23,HD 128621,K1V,1.332,0.503,0.940,1.800,0.344,0.208,0.045,0.781,1.267,4.275,2034.853,4.051,0.470,False
HD 128621_24,HD 128621,K1V,1.332,0.503,0.940,1.576,1.192,1.342,0.065,0.962,4.595,2.435,2034.448,2.463,0.376,False
HD 128621_25,HD 128621,K1V,1.332,0.503,0.940,0.981,3.247,6.035,0.041,0.496,5.062,2.284,2032.573,1.317,0.350,False
HD 128621_26,HD 128621,K1V,1.332,0.503,0.940,0.500,2.656,4.465,0.079,1.449,0.787,0.941,2034.201,0.058,0.360,False
HD 128620_0,HD 128620,G2V,1.332,1.521,1.110,1.856,0.128,0.044,0.057,1.220,0.047,1.013,2034.973,6.260,0.398,False
HD 128620_1,HD 128620,G2V,1.332,1.521,1.110,1.537,1.955,2.594,0.108,1.198,5.351,1.898,2034.434,5.370,0.280,True
HD 128620_2,HD 128620,G2V,1.332,1.521,1.110,0.677,1.985,2.655,0.029,0.102,0.292,0.911,2033.240,0.238,0.375,True
HD 128620_3,HD 128620,G2V,1.332,1.521,1.110,2.470,0.175,0.069,0.093,0.982,3.297,5.793,2034.947,14.887,0.150,False
HD 128620_4,HD 128620,G2V,1.332,1.521,1.110,0.540,0.681,0.533,0.038,0.810,3.864,3.223,2034.911,0.110,0.347,False
HD 128620_5,HD 128620,G2V,1.332,1.521,1.110,1.430,3.673,6.683,0.046,0.872,1.245,3.918,2034.707,8.722,0.459,False
HD 128620_6,HD 128620,G2V,1.332,1.521,1.110,3.275,1.745,2.188,0.127,0.595,5.628,2.246,2034.038,3.919,0.358,True
HD 128620_7,HD 128620,G2V,1.332,1.521,1.110,1.263,0.993,0.940,0.062,0.532,1.194,1.736,2034.272,2.383,0.450,True
HD 128620_8,HD 128620,G2V,1.332,1.521,1.110,2.180,1.201,1.249,0.065,0.972,5.558,3.162,2034.187,6.312,0.312,True
HD 128620_9,HD 128620,G2V,1.332,1.521,1.110,1.430,0.407,0.246,0.087,1.272,4.794,1.849,2034.827,1.710,0.396,False
HD 128620_10,HD 128620,G2V,1.332,1.521,1.110,2.100,3.196,5.424,0.093,1.548,1.513,2.159,2032.815,5.858,0.383,False
HD 128620_11,HD 128620,G2V,1.332,1.521,1.110,1.613,4.019,7.648,0.086,0.909,0.947,2.845,2033.203,4.531,0.324,False
HD 128620_12,HD 128620,G2V,1.332,1.521,1.110,1.734,3.991,7.566,0.077,0.600,1.987,3.178,2030.976,1.575,0.376,False
HD 128620_13,HD 128620,G2V,1.332,1.521,1.110,0.725,0.441,0.278,0.008,1.103,2.500,6.185,2034.943,0.243,0.428,False
HD 128620_14,HD 128620,G2V,1.332,1.521,1.110,1.925,0.663,0.512,0.035,1.405,1.544,1.403,2034.628,6.471,0.351,False
HD 128620_15,HD 128620,G2V,1.332,1.521,1.110,0.738,0.313,0.166,0.048,1.279,6.276,3.066,2034.967,0.391,0.282,False
HD 128620_16,HD 128620,G2V,1.332,1.521,1.110,3.251,0.652,0.500,0.116,1.036,1.443,0.939,2034.854,29.137,0.502,False
HD 128620_17,HD 128620,G2V,1.332,1.521,1.110,0.725,0.728,0.589,0.137,0.580,5.219,2.199,2034.701,0.580,0.366,False
HD 128620_18,HD 128620,G2V,1.332,1.521,1.110,0.736,2.022,2.728,0.070,1.398,1.000,4.507,2033.672,0.863,0.322,True
HD 128620_19,HD 128620,G2V,1.332,1.521,1.110,2.471,0.368,0.212,0.059,0.912,6.159,1.096,2034.873,9.877,0.350,False
HD 128620_20,HD 128620,G2V,1.332,1.521,1.110,0.744,4.066,7.782,0.155,0.718,1.417,3.653,2031.596,0.314,0.363,False
HD 128620_21,HD 128620,G2V,1.332,1.521,1.110,0.918,0.219,0.097,0.072,0.360,2.650,2.618,2034.911,0.391,0.282,False
HD 128620_22,HD 128620,G2V,1.332,1.521,1.110,1.819,0.104,0.032,0.096,1.454,3.510,0.324,2034.973,7.420,0.286,False
HD 128620_23,HD 128620,G2V,1.332,1.521,1.110,0.644,3.529,6.293,0.078,0.386,0.756,5.863,2029.468,0.231,0.391,False
HD 128620_24,HD 128620,G2V,1.332,1.521,1.110,0.644,2.447,3.633,0.058,0.925,5.132,2.599,2032.713,0.079,0.341,False
HD 128620_25,HD 128620,G2V,1.332,1.521,1.110,1.158,0.798,0.677,0.065,0.697,1.726,4.926,2034.570,1.443,0.239,False
HD 128620_26,HD 128620,G2V,1.332,1.521,1.110,0.745,1.815,2.321,0.088,1.517,3.451,2.616,2033.586,1.913,0.406,True
HD 128620_27,HD 128620,G2V,1.332,1.521,1.110,0.735,0.440,0.277,0.132,1.040,3.453,5.890,2034.879,0.364,0.381,False
HD 128620_28,HD 128620,G2V,1.332,1.521,1.110,0.503,0.327,0.178,0.065,0.899,3.787,1.825,2034.943,0.091,0.331,False
HD 128620_29,HD 128620,G2V,1.332,1.521,1.110,0.934,1.226,1.288,0.062,1.259,0.349,2.590,2034.237,0.654,0.301,True
HD 128620_30,HD 128620,G2V,1.332,1.521,1.110,0.850,0.791,0.668,0.020,1.124,1.059,4.768,2034.983,0.469,0.409,False
HD 131156 A_0,HD 131156 A,G8-V,6.754,0.553,0.960,0.860,0.096,0.030,0.023,0.668,4.477,4.089,2034.998,0.518,0.384,False
HD 131156 A_1,HD 131156 A,G8-V,6.754,0.553,0.960,1.414,2.154,3.227,0.070,0.983,3.939,3.676,2034.764,2.096,0.486,False
HD 131156 A_2,HD 131156 A,G8-V,6.754,0.553,0.960,1.092,0.147,0.058,0.105,1.259,1.157,0.973,2034.974,0.734,0.388,False
HD 131156 A_3,HD 131156 A,G8-V,6.754,0.553,0.960,0.825,3.449,6.536,0.090,0.917,0.677,5.565,2033.398,0.648,0.386,False
HD 131156 A_4,HD 131156 A,G8-V,6.754,0.553,0.960,3.331,0.114,0.039,0.024,1.232,2.750,2.315,2034.962,10.083,0.150,False
HD 131156 A_5,HD 131156 A,G8-V,6.754,0.553,0.960,2.959,1.419,1.725,0.138,1.106,3.549,0.313,2033.428,15.712,0.150,False
HD 131156 A_6,HD 131156 A,G8-V,6.754,0.553,0.960,0.609,3.675,7.189,0.078,0.530,0.872,2.060,2032.090,0.217,0.359,False
HD 131156 A_7,HD 131156 A,G8-V,6.754,0.553,0.960,1.014,1.615,2.095,0.070,0.839,1.843,5.465,2034.060,1.027,0.408,False
HD 131156 A_8,HD 131156 A,G8-V,6.754,0.553,0.960,1.591,1.795,2.455,0.044,0.704,1.922,5.761,2034.079,5.282,0.398,False
HD 131156 A_9,HD 131156 A,G8-V,6.754,0.553,0.960,1.892,2.199,3.329,0.115,0.948,1.642,3.081,2034.874,4.902,0.430,False
HD 131156 A_10,HD 131156 A,G8-V,6.754,0.553,0.960,0.927,0.236,0.117,0.096,0.131,2.895,6.009,2034.966,1.473,0.341,False
HD 131156 A_11,HD 131156 A,G8-V,6.754,0.553,0.960,1.943,2.160,3.241,0.016,1.327,4.103,5.499,2034.602,2.848,0.345,False
HD 131156 A_12,HD 131156 A,G8-V,6.754,0.553,0.960,0.607,3.559,6.852,0.028,1.305,3.201,5.185,2034.299,0.191,0.343,False
HD 131156 A_13,HD 131156 A,G8-V,6.754,0.553,0.960,0.871,4.344,9.241,0.020,1.478,1.266,5.402,2029.817,0.646,0.407,False
HD 131156 A_14,HD 131156 A,G8-V,6.754,0.553,0.960,1.826,1.059,1.113,0.077,0.984,0.647,2.399,2034.890,2.956,0.442,True
HD 131156 A_15,HD 131156 A,G8-V,6.754,0.553,0.960,1.519,0.728,0.634,0.211,0.910,5.164,4.753,2034.935,1.921,0.344,True
HD 131156 A_16,HD 131156 A,G8-V,6.754,0.553,0.960,2.358,2.644,4.388,0.138,0.758,3.012,3.628,2032.891,7.359,0.346,False
HD 131156 A_17,HD 131156 A,G8-V,6.754,0.553,0.960,0.534,1.475,1.829,0.081,1.229,0.390,4.522,2034.191,0.111,0.383,False
HD 131156 A_18,HD 131156 A,G8-V,6.754,0.553,0.960,0.661,0.495,0.356,0.168,1.559,1.622,1.117,2034.951,0.193,0.355,False
HD 131156 A_19,HD 131156 A,G8-V,6.754,0.553,0.960,0.536,0.318,0.183,0.066,0.886,5.052,4.595,2034.999,0.132,0.415,False
HD 131156 A_20,HD 131156 A,G8-V,6.754,0.553,0.960,0.682,0.315,0.180,0.050,0.051,4.723,6.017,2034.965,0.317,0.254,False
HD 131156 A_21,HD 131156 A,G8-V,6.754,0.553,0.960,0.500,1.121,1.211,0.071,1.272,5.503,1.902,2034.714,0.112,0.326,True
HD 131156 A_22,HD 131156 A,G8-V,6.754,0.553,0.960,1.198,0.315,0.180,0.045,1.386,3.783,6.196,2034.856,1.264,0.328,False
HD 131156 A_23,HD 131156 A,G8-V,6.754,0.553,0.960,1.255,0.111,0.038,0.051,1.285,2.657,2.377,2034.965,3.390,0.251,False
HD 131156 A_24,HD 131156 A,G8-V,6.754,0.553,0.960,1.620,0.145,0.056,0.075,1.131,2.681,1.255,2034.977,2.268,0.319,False
HD 131156 A_25,HD 131156 A,G8-V,6.754,0.553,0.960,0.959,3.961,8.047,0.086,1.317,1.219,0.706,2031.741,0.604,0.321,False
HD 131977_0,HD 131977,K4V,5.886,0.223,0.720,0.883,2.559,4.824,0.035,1.321,0.806,2.788,2033.276,0.317,0.357,False
HD 131977_1,HD 131977,K4V,5.886,0.223,0.720,0.530,0.168,0.081,0.088,0.847,1.317,1.568,2034.964,0.079,0.423,False
HD 131977_2,HD 131977,K4V,5.886,0.223,0.720,2.527,0.321,0.214,0.066,1.414,2.833,2.698,2034.859,7.359,0.355,False
HD 131977_3,HD 131977,K4V,5.886,0.223,0.720,1.394,1.006,1.188,0.089,1.375,3.601,4.232,2034.493,2.036,0.315,False
HD 131977_4,HD 131977,K4V,5.886,0.223,0.720,0.820,3.601,8.054,0.090,0.497,6.276,1.770,2029.107,1.149,0.364,False
HD 131977_5,HD 131977,K4V,5.886,0.223,0.720,0.555,1.421,1.997,0.027,1.422,0.163,5.751,2034.817,0.074,0.419,False
HD 131977_6,HD 131977,K4V,5.886,0.223,0.720,1.853,0.785,0.819,0.061,1.552,0.002,1.925,2034.320,4.153,0.318,True
HD 131977_7,HD 131977,K4V,5.886,0.223,0.720,1.953,3.980,9.359,0.041,1.046,2.201,1.245,2033.089,4.438,0.321,False
HD 131977_8,HD 131977,K4V,5.886,0.223,0.720,1.648,1.034,1.240,0.074,0.530,2.301,5.998,2033.829,1.945,0.395,False
HD 131977_9,HD 131977,K4V,5.886,0.223,0.720,0.695,0.931,1.059,0.034,1.239,5.553,5.093,2034.835,0.217,0.356,False
HD 131977_10,HD 131977,K4V,5.886,0.223,0.720,2.789,0.859,0.938,0.052,1.442,5.734,2.156,2034.879,7.670,0.399,False
HD 131977_11,HD 131977,K4V,5.886,0.223,0.720,1.971,0.577,0.517,0.058,0.189,5.533,5.287,2034.580,4.645,0.366,True
HD 131977_12,HD 131977,K4V,5.886,0.223,0.720,1.620,0.611,0.564,0.063,0.827,0.900,3.260,2034.539,3.031,0.402,True
HD 131977_13,HD 131977,K4V,5.886,0.223,0.720,1.598,2.031,3.412,0.110,0.553,2.589,2.179,2032.479,3.334,0.315,False
HD 131977_14,HD 131977,K4V,5.886,0.223,0.720,2.734,0.120,0.049,0.008,0.719,4.687,5.275,2034.953,8.867,0.366,False
HD 131977_15,HD 131977,K4V,5.886,0.223,0.720,2.885,1.999,3.331,0.129,0.798,1.964,4.726,2034.099,3.266,0.356,False
HD 131977_16,HD 131977,K4V,5.886,0.223,0.720,1.431,0.339,0.233,0.074,1.176,4.167,1.872,2034.807,2.334,0.306,False
HD 131977_17,HD 131977,K4V,5.886,0.223,0.720,1.017,0.774,0.803,0.084,1.240,1.490,3.812,2034.717,4.051,0.289,False
HD 131977_18,HD 131977,K4V,5.886,0.223,0.720,0.923,0.249,0.147,0.032,0.771,2.032,2.321,2034.921,0.889,0.401,False
HD 131977_19,HD 131977,K4V,5.886,0.223,0.720,2.268,1.382,1.915,0.082,0.772,5.406,0.007,2034.147,7.928,0.349,False
HD 131977_20,HD 131977,K4V,5.886,0.223,0.720,1.577,2.262,4.010,0.061,0.316,1.574,6.043,2034.977,2.061,0.316,False
HD 131977_21,HD 131977,K4V,5.886,0.223,0.720,0.562,0.689,0.674,0.033,0.966,6.059,3.453,2034.613,0.141,0.362,True
HD 131977_22,HD 131977,K4V,5.886,0.223,0.720,0.626,0.275,0.170,0.085,1.272,1.924,3.760,2034.873,0.234,0.423,False
HD 131977_23,HD 131977,K4V,5.886,0.223,0.720,2.709,0.387,0.284,0.033,1.059,0.148,3.769,2034.951,9.281,0.253,True
HD 131977_24,HD 131977,K4V,5.886,0.223,0.720,2.616,2.807,5.544,0.034,0.910,1.602,3.460,2029.835,20.148,0.385,False
HD 131977_25,HD 131977,K4V,5.886,0.223,0.720,3.043,0.472,0.383,0.165,1.130,1.076,1.822,2034.797,5.528,0.292,True
HD 131977_26,HD 131977,K4V,5.886,0.223,0.720,1.038,2.532,4.748,0.073,0.658,3.184,6.105,2034.154,0.710,0.321,False
HD 131977_27,HD 131977,K4V,5.886,0.223,0.720,2.104,0.626,0.583,0.111,0.946,0.708,3.906,2034.623,7.268,0.440,True
HD 131977_28,HD 131977,K4V,5.886,0.223,0.720,2.313,0.317,0.211,0.023,1.561,3.934,4.216,2034.960,9.129,0.381,False
HD 131977_29,HD 131977,K4V,5.886,0.223,0.720,0.846,2.250,3.979,0.062,0.964,5.497,2.858,2034.747,0.374,0.405,False
HD 131977_30,HD 131977,K4V,5.886,0.223,0.720,0.629,1.052,1.271,0.030,0.885,2.278,1.809,2034.129,0.144,0.310,False
HD 131977_31,HD 131977,K4V,5.886,0.223,0.720,3.376,0.111,0.044,0.039,0.415,1.059,0.404,2034.995,3.212,0.311,False
HD 131977_32,HD 131977,K4V,5.886,0.223,0.720,0.520,3.833,8.843,0.104,1.144,2.513,2.201,2034.061,0.066,0.389,False
HD 131977_33,HD 131977,K4V,5.886,0.223,0.720,1.436,0.251,0.148,0.060,0.959,4.938,1.106,2034.890,3.652,0.370,False
HD 131977_34,HD 131977,K4V,5.886,0.223,0.720,1.595,0.686,0.669,0.201,1.076,3.716,4.160,2034.963,4.119,0.394,True
HD 131977_35,HD 131977,K4V,5.886,0.223,0.720,1.701,0.776,0.806,0.026,1.010,0.636,5.523,2034.347,4.188,0.358,True
HD 131977_36,HD 131977,K4V,5.886,0.223,0.720,0.761,1.129,1.413,0.063,1.503,3.375,1.902,2033.875,0.306,0.381,False
HD 131977_37,HD 131977,K4V,5.886,0.223,0.720,1.846,2.598,4.936,0.048,0.457,2.941,2.092,2034.302,2.166,0.375,False
HD 131977_38,HD 131977,K4V,5.886,0.223,0.720,0.711,0.090,0.032,0.046,0.427,2.055,4.212,2034.984,0.234,0.406,False
HD 131977_39,HD 131977,K4V,5.886,0.223,0.720,2.317,3.619,8.113,0.043,0.991,0.692,0.938,2034.216,7.298,0.407,False
HD 131977_40,HD 131977,K4V,5.886,0.223,0.720,0.714,1.814,2.879,0.083,0.981,6.165,5.840,2033.179,0.443,0.286,False
HD 131977_41,HD 131977,K4V,5.886,0.223,0.720,1.753,3.759,8.591,0.043,1.513,1.106,2.286,2034.459,5.810,0.255,False
HD 131977_42,HD 131977,K4V,5.886,0.223,0.720,2.101,2.803,5.530,0.088,0.930,1.211,0.636,2029.777,2.175,0.417,False
HD 131977_43,HD 131977,K4V,5.886,0.223,0.720,0.678,3.584,7.995,0.061,1.127,0.915,1.098,2033.339,0.300,0.426,False
HD 131977_44,HD 131977,K4V,5.886,0.223,0.720,0.738,1.597,2.378,0.085,0.783,3.583,5.861,2033.376,0.497,0.316,False
HD 134083_0,HD 134083,F5V,19.536,3.255,1.330,1.945,2.986,4.475,0.064,1.286,4.340,0.606,2030.731,7.451,0.274,True
HD 134083_1,HD 134083,F5V,19.536,3.255,1.330,1.020,1.611,1.774,0.059,1.254,0.832,5.491,2033.282,0.915,0.372,True
HD 134083_2,HD 134083,F5V,19.536,3.255,1.330,0.508,1.065,0.953,0.033,1.345,0.717,3.221,2034.078,0.077,0.414,False
HD 134083_3,HD 134083,F5V,19.536,3.255,1.330,1.255,4.177,7.402,0.145,0.668,4.850,2.974,2034.728,1.820,0.457,False
HD 134083_4,HD 134083,F5V,19.536,3.255,1.330,0.613,3.618,5.967,0.086,0.284,3.930,1.247,2032.718,0.118,0.393,False
HD 134083_5,HD 134083,F5V,19.536,3.255,1.330,0.703,0.168,0.060,0.048,1.056,3.263,2.369,2034.955,0.202,0.348,False
HD 134083_6,HD 134083,F5V,19.536,3.255,1.330,1.751,2.046,2.538,0.015,1.529,5.700,2.091,2033.089,2.403,0.322,True
HD 134083_7,HD 134083,F5V,19.536,3.255,1.330,0.763,3.088,4.706,0.115,1.307,4.144,1.701,2034.596,0.401,0.368,False
HD 134083_8,HD 134083,F5V,19.536,3.255,1.330,2.659,1.684,1.895,0.085,1.412,2.489,3.565,2033.845,12.718,0.255,True
HD 134083_9,HD 134083,F5V,19.536,3.255,1.330,1.618,4.930,9.492,0.063,0.568,2.601,2.905,2033.644,3.744,0.352,False
HD 134083_10,HD 134083,F5V,19.536,3.255,1.330,2.333,2.481,3.388,0.048,1.486,3.803,5.587,2033.329,3.172,0.316,True
HD 134083_11,HD 134083,F5V,19.536,3.255,1.330,1.487,0.234,0.098,0.098,0.260,4.777,5.915,2034.976,7.420,0.469,False
HD 134083_12,HD 134083,F5V,19.536,3.255,1.330,2.527,0.410,0.228,0.106,0.942,3.546,1.379,2034.988,16.241,0.286,False
HD 134083_13,HD 134083,F5V,19.536,3.255,1.330,0.919,3.511,5.703,0.062,1.027,3.197,0.629,2034.544,1.517,0.456,False
HD 134083_14,HD 134083,F5V,19.536,3.255,1.330,1.306,5.071,9.901,0.078,0.560,4.567,4.934,2025.981,7.575,0.424,False
HD 134083_15,HD 134083,F5V,19.536,3.255,1.330,1.225,0.225,0.092,0.157,1.543,4.431,6.251,2034.931,1.367,0.321,False
HD 134083_16,HD 134083,F5V,19.536,3.255,1.330,2.731,0.228,0.094,0.182,0.681,5.217,5.426,2034.912,19.899,0.211,False
HD 134083_17,HD 134083,F5V,19.536,3.255,1.330,0.651,3.022,4.555,0.123,1.454,0.393,0.149,2032.859,0.134,0.410,False
HD 134083_18,HD 134083,F5V,19.536,3.255,1.330,1.382,0.177,0.064,0.070,0.572,4.744,1.579,2034.973,2.061,0.399,False
HD 134083_19,HD 134083,F5V,19.536,3.255,1.330,1.977,0.182,0.068,0.030,1.013,3.228,0.272,2034.976,3.185,0.389,False
HD 134083_20,HD 134083,F5V,19.536,3.255,1.330,0.933,4.042,7.046,0.114,1.510,0.469,5.157,2030.657,0.543,0.429,False
HD 134083_21,HD 134083,F5V,19.536,3.255,1.330,2.520,3.305,5.209,0.016,0.586,4.266,3.653,2033.169,3.146,0.399,False
HD 134083_22,HD 134083,F5V,19.536,3.255,1.330,0.938,3.978,6.880,0.053,1.543,4.502,3.228,2029.866,0.870,0.404,False
HD 134083_23,HD 134083,F5V,19.536,3.255,1.330,0.660,2.253,2.933,0.017,1.432,3.290,3.484,2032.649,0.322,0.399,True
HD 134083_24,HD 134083,F5V,19.536,3.255,1.330,1.399,0.740,0.552,0.091,0.647,4.988,1.586,2034.516,2.654,0.384,False
HD 134083_25,HD 134083,F5V,19.536,3.255,1.330,1.024,4.199,7.460,0.057,1.087,1.887,3.780,2033.189,0.835,0.278,False
HD 134083_26,HD 134083,F5V,19.536,3.255,1.330,0.508,0.668,0.473,0.077,0.492,1.269,0.193,2034.751,0.104,0.371,False
HD 134083_27,HD 134083,F5V,19.536,3.255,1.330,0.555,0.601,0.404,0.066,0.882,2.204,4.059,2034.910,0.106,0.339,False
HD 134083_28,HD 134083,F5V,19.536,3.255,1.330,0.685,4.021,6.991,0.079,0.898,2.576,4.615,2034.737,0.251,0.303,False
HD 134083_29,HD 134083,F5V,19.536,3.255,1.330,2.040,2.446,3.318,0.030,1.274,4.373,4.229,2032.651,7.420,0.451,True
HD 134083_30,HD 134083,F5V,19.536,3.255,1.330,2.660,4.103,7.207,0.028,1.437,5.313,2.087,2031.044,5.152,0.453,False
HD 134083_31,HD 134083,F5V,19.536,3.255,1.330,1.298,0.323,0.159,0.093,0.280,4.530,5.192,2034.885,1.746,0.435,False
HD 134083_32,HD 134083,F5V,19.536,3.255,1.330,0.589,4.629,8.635,0.064,1.466,1.093,4.496,2034.243,0.237,0.380,False
HD 134083_33,HD 134083,F5V,19.536,3.255,1.330,1.270,2.027,2.502,0.065,1.013,2.301,0.806,2032.510,2.011,0.435,True
HD 134083_34,HD 134083,F5V,19.536,3.255,1.330,2.455,2.364,3.152,0.023,1.295,0.995,1.226,2031.866,6.081,0.368,True
HD 134083_35,HD 134083,F5V,19.536,3.255,1.330,1.956,4.269,7.650,0.083,1.303,4.315,4.003,2031.443,9.243,0.377,False
HD 134083_36,HD 134083,F5V,19.536,3.255,1.330,0.810,0.938,0.787,0.078,0.934,1.559,1.818,2034.318,0.615,0.312,False
HD 134083_37,HD 134083,F5V,19.536,3.255,1.330,0.607,2.707,3.863,0.014,0.647,3.301,0.750,2034.059,0.119,0.387,True
HD 134083_38,HD 134083,F5V,19.536,3.255,1.330,2.712,2.191,2.812,0.027,0.681,4.975,0.974,2032.926,4.684,0.370,True
HD 134083_39,HD 134083,F5V,19.536,3.255,1.330,2.447,3.206,4.977,0.076,0.518,4.216,1.041,2030.624,2.463,0.302,False
HD 134083_40,HD 134083,F5V,19.536,3.255,1.330,0.540,4.114,7.236,0.023,1.274,1.875,3.002,2029.105,0.123,0.364,False
HD 134083_41,HD 134083,F5V,19.536,3.255,1.330,2.290,2.441,3.308,0.047,1.086,2.091,3.816,2032.315,5.691,0.363,True
HD 134083_42,HD 134083,F5V,19.536,3.255,1.330,0.581,0.181,0.067,0.032,1.561,4.105,1.108,2034.969,0.080,0.457,False
HD 134083_43,HD 134083,F5V,19.536,3.255,1.330,0.549,0.377,0.201,0.071,0.727,3.452,4.477,2034.835,0.224,0.412,False
HD 136352_0,HD 136352,G2.5V Hdel1,14.739,1.029,1.020,2.173,0.297,0.160,0.087,1.110,0.316,6.074,2034.954,7.513,0.368,False
